Position.x;Position.y;Position.z;Rotation.x;Rotation.y;Rotation.z
0,4389589;0,8013653;0,6860791;345,8886;17,37577;359,0834
0,4389411;0,8013371;0,6860689;345,8927;17,3735;359,0811
0,4389339;0,8013185;0,6860567;345,8958;17,37555;359,0801
0,439011;0,801448;0,6861346;345,9094;17,38119;359,0783
0,4387959;0,8012129;0,6860635;345,9004;17,37685;359,0783
0,4387822;0,8011936;0,6860636;345,9061;17,37867;359,071
0,4388816;0,801415;0,6861627;345,9061;17,37696;359,0685
0,4388688;0,8013873;0,6861794;345,9117;17,37845;359,0703
0,4388447;0,8013913;0,6861913;345,9088;17,37895;359,07
0,4390707;0,8015479;0,6862593;345,9091;17,38099;359,0673
0,4390498;0,8014991;0,68628;345,9218;17,37803;359,0654
0,4390431;0,8015001;0,6862892;345,9163;17,38145;359,0669
0,4389701;0,8014194;0,6862743;345,9151;17,38243;359,0666
0,4389628;0,8013954;0,6862783;345,9194;17,38325;359,0688
0,4389436;0,8013568;0,6862675;345,9187;17,37927;359,0749
0,4390565;0,8013535;0,6862041;345,9336;17,38395;359,0831
0,4389141;0,8013399;0,6860766;345,9146;17,37746;359,0918
0,4388982;0,8013245;0,6860533;345,9074;17,37621;359,0988
0,4387972;0,8012373;0,6861008;345,9155;17,37419;359,1017
0,4387804;0,8012034;0,6860747;345,9142;17,37507;359,1108
0,4387684;0,8011697;0,6860627;345,9156;17,37639;359,121
0,4388725;0,8013296;0,6861529;345,9275;17,37393;359,1303
0,4386169;0,8011842;0,6860214;345,913;17,37737;359,1172
0,438594;0,8011559;0,6859932;345,9176;17,37542;359,1157
0,4388148;0,8013676;0,6860945;345,9244;17,3653;359,1346
0,4388047;0,8013573;0,6860487;345,9212;17,36894;359,1364
0,4387976;0,8013399;0,686027;345,9247;17,3728;359,142
0,4388008;0,8012875;0,6860158;345,9263;17,37515;359,1376
0,4387841;0,8012764;0,6860069;345,9226;17,37002;359,1334
0,4387825;0,8012493;0,6859894;345,9261;17,37133;359,1312
0,4391336;0,8015253;0,6864266;345,9398;17,36401;359,1276
0,4391327;0,8014873;0,6864482;345,9436;17,3633;359,1321
0,4391448;0,8014762;0,6864626;345,9429;17,36753;359,1252
0,4393635;0,8014767;0,6863565;345,9503;17,38073;359,1151
0,4390682;0,8015452;0,6861179;345,9223;17,36889;359,1107
